id,origin,destination,start_time,kind,origin_real_id,dest_real_id,origin_x,origin_y,dest_x,dest_y,cluster
0,0,0,590,Human,156460680#1,-243836884#5,4178.88,3290.6,3452.5,1409.57,11
1,1,1,566,Human,-165171783#1,37052930,3548.82,1309.9,3560.97,3019.52,6
2,2,2,574,Human,-1339478328#0,-156460683#5,3240.16,2736.36,3501.02,3995.22,6
3,3,3,653,Human,-1119245057#1,-153730010#2,4123.04,3588.62,4571.17,2348.21,11
4,4,3,1243,Human,37050051,-153730010#2,4277.06,2950.92,4571.17,2348.21,11
5,5,4,1037,Human,-153730016#1,-394443151#2,4398.34,2207.95,3249.2,1483.56,7
6,6,5,43,Human,-859784039#0,-1119245060#0,4354.56,3187.94,4071.46,3446.76,8
7,7,6,1700,Human,36936590#6,319058646#1,3624.39,1709.24,3690.37,1172.16,3
8,8,7,1630,Human,1119245067,-36293459#7,4203.72,2952.09,3939.74,3470.65,3
9,9,8,1688,Human,1239117013#2,-165171783#1,3751.5,1890.18,3548.82,1310.1,3
10,10,2,142,Human,918716574#2,-156460683#5,3741.68,2928.73,3501.02,3995.22,6
11,11,9,1149,Human,-156460681#1,-37055563#1,3435.94,3678.04,4394.98,3323.85,9
12,12,2,1545,Human,-36294081#1,-156460683#5,4177.48,3912.82,3501.02,3995.22,3
13,13,10,1617,Human,-36950506#3,187827276,4627.4,2662.56,3101.9,3184.81,4
14,14,11,383,Human,-37052381#2,-35802097#3,4022.08,3450.3,2893.35,2751.33,6
15,15,4,601,Human,-319058611,-394443151#2,4593.63,2654.61,3249.2,1483.56,7
16,6,12,399,Human,-859784039#0,36936373#3,4354.56,3187.94,3899.86,2469.32,6
17,16,13,350,Human,-153730010#1,165172163,4569.09,2341.21,3660.57,1291.97,14
18,17,3,950,Human,165172163,-153730010#2,3693.96,1281.54,4571.17,2348.21,7
19,18,14,1199,Human,-37055563#1,-698026762,4516.98,3642.19,4914.44,2707.08,4
20,15,15,614,Human,-319058611,1239117012#2,4593.63,2654.61,3775.18,1918.55,11
21,19,16,339,Human,-36294081#2,-156460683#0,4177.51,3921.11,3345.56,4371.28,6
22,20,17,112,Human,1119245066#1,-243836890#2,4525.96,2898.81,3355.18,2250.13,2
23,21,18,492,Human,36936396#2,319058644,4104.91,2765.61,4321.64,2344.8,12
24,22,19,1392,Human,319058644,36936396#2,4323.02,2338.06,4116.1,2758.65,4
25,23,20,531,Human,269702544,-37052381#1,3722.7,2378.13,4006.0,3356.52,6
26,24,2,1667,Human,-153730015#3,-156460683#5,4374.92,1827.81,3501.02,3995.22,4
27,15,14,736,Human,-319058611,-698026762,4593.63,2654.61,4914.44,2707.08,10
28,6,14,1792,Human,-859784039#0,-698026762,4354.56,3187.94,4914.44,2707.08,9
29,25,21,1325,Human,-37052381#0,-153730008#2,4003.63,3347.38,4252.09,1972.34,11
30,26,22,1252,Human,319058608#0,36950506#0,4389.91,2616.46,4828.98,2712.21,1
31,27,6,452,Human,-698026762,319058646#1,4914.63,2707.01,3690.37,1172.16,14
32,28,23,220,Human,-156460683#0,1119245060#2,3402.48,4301.31,4141.22,3411.37,14
33,29,24,175,Human,-36934835#0,319058646#0,3634.66,2775.7,3706.78,1230.65,14
34,30,25,1140,Human,-153730939#1,-610135148#1,4190.23,2632.93,4592.1,1524.14,14
35,31,26,308,Human,-319058589#1,39820659#3,4593.5,2996.35,4625.2,2629.65,12
36,32,3,1776,Human,-153730018,-153730010#2,4227.83,1859.78,4571.17,2348.21,9
37,33,27,1161,Human,-319779153,-36293459#8,4084.39,1983.65,3965.27,3464.79,4
38,34,28,1238,Human,-165170818#5,-37052277#3,3515.73,884.56,4030.33,3202.05,4
39,35,2,188,Human,-36293459#6,-156460683#5,3934.97,3472.18,3501.02,3995.22,2
40,36,2,1336,Human,-36294383#6,-156460683#5,4212.88,3721.15,3501.02,3995.22,5
41,37,29,396,Human,-243836884#1,36936327,3369.88,1267.91,3608.17,2609.61,14
42,38,22,1729,Human,39820659#3,36950506#0,4519.49,2510.63,4828.98,2712.21,9
43,38,14,701,Human,39820659#3,-698026762,4519.49,2510.63,4914.44,2707.08,10
44,39,30,694,Human,-35801597#3,165170685#1,3072.22,2602.05,3650.16,1196.12,10
45,40,3,122,Human,-157555050#0,-153730010#2,4393.79,2874.05,4571.17,2348.21,12
46,41,27,1311,Human,36936423#5,-36293459#8,3458.92,3043.53,3965.27,3464.79,4
47,42,31,1066,Human,-36294081#3,610135147#1,4173.95,3956.32,4386.22,1330.98,11
48,43,32,490,Human,-394456356#1,37088258#0,4372.51,3216.85,4284.15,2952.66,12
49,38,33,239,Human,39820659#3,1119245067,4519.49,2510.63,4153.68,2947.95,6
50,44,34,1055,Human,-319058608#1,-1239117016#2,4281.82,2623.94,4705.05,2572.13,1
51,45,35,1117,Human,-37088673#1,-36936288,4662.75,2520.57,3646.98,2676.47,4
52,46,36,846,Human,-36950439#0,-153730020#0,4465.26,2981.3,3966.29,1830.89,11
53,47,37,1746,Human,-153730020#0,-36950439#0,4070.25,1891.39,4300.89,2961.26,4
54,24,38,131,Human,-153730015#3,218916675,4374.92,1827.81,3251.57,2917.13,6
55,48,39,1762,Human,-156460683#6,-153730015#2,3512.34,3725.98,4346.45,2165.09,3
56,9,40,518,Human,1239117013#2,156467000#3,3751.5,1890.18,3001.2,3022.72,6
